                  Player_Name   total        avg   max   min  gp
67            Jaden McDaniels   493.9  30.868750  44.9  15.4  16
68            Davion Mitchell   491.9  27.327778  49.2  10.7  18
69             Stephon Castle   491.5  37.807692  53.2  11.5  13
70                CJ McCollum   486.9  28.641176  59.0   9.2  17
71             Paolo Banchero   486.3  40.525000  54.9  16.7  12
72            Dennis Schröder   486.2  27.011111  43.5   1.5  18
73              Chet Holmgren   485.5  34.678571  54.7  20.9  14
74               VJ Edgecombe   485.5  32.366667  47.9  16.8  15
75           Collin Gillespie   484.3  26.905556  47.1   8.9  18
76              Cedric Coward   484.0  26.888889  43.2  12.9  18
77         Brandin Podziemski   479.9  25.257895  39.8  12.2  19
78             Quentin Grimes   474.3  27.900000  50.7  14.6  17
79             Shaedon Sharpe   473.5  33.821429  50.5  21.8  14
80             Jeremiah Fears   473.3  26.294444  46.3   6.4  18
81         Wendell Carter Jr.   472.3  26.238889  39.3   9.9  18
82               Jusuf Nurkić   471.6  27.741176  46.0  17.8  17
83          Jaren Jackson Jr.   468.0  29.250000  42.1  19.3  16
84             Andrew Wiggins   465.8  31.053333  43.3  18.0  15
85                   Naz Reid   465.8  27.400000  43.5  13.5  17
86              Anthony Black   463.0  24.368421  37.8   4.0  19
87             Toumani Camara   461.0  25.611111  38.4  11.9  18
88           Donte DiVincenzo   460.2  27.070588  46.3  16.5  17
89               Jrue Holiday   455.1  37.925000  57.3  21.6  12
90              Neemias Queta   452.5  26.617647  42.9   8.4  17
91              Matas Buzelis   451.4  26.552941  42.8   5.8  17
92                Zach LaVine   448.1  28.006250  42.1  10.8  16
93             Moussa Diabaté   446.2  26.247059  36.2  12.4  17
94              Naji Marshall   444.8  23.410526  51.6   5.7  19
95              Mark Williams   442.0  29.466667  48.9   9.2  15
96              Deandre Ayton   439.7  29.313333  50.0   8.0  15
97                Bam Adebayo   437.1  36.425000  51.5   3.2  12
98                LaMelo Ball   436.7  43.670000  78.1  30.3  10
99            De'Andre Hunter   436.4  29.093333  38.9  16.5  15
100             Royce O'Neale   436.0  24.222222  54.1  11.7  18
101             Jarrett Allen   432.2  30.871429  55.5  15.3  14
102          Domantas Sabonis   429.5  39.045455  52.7  23.0  11
103        Kristaps Porziņģis   428.7  35.725000  53.4  26.1  12
104             Grayson Allen   424.0  32.615385  58.4  18.6  13
105              Max Christie   423.6  22.294737  32.4   1.5  19
106            Andre Drummond   422.7  26.418750  48.3   1.2  16
107          Jabari Smith Jr.   417.9  29.850000  47.5  19.6  14
108               Jalen Suggs   412.5  29.464286  46.1  16.6  14
109            Draymond Green   411.1  25.693750  36.6   5.9  16
110                Kyle Kuzma   409.8  24.105882  60.5   1.2  17
111             Devin Vassell   406.9  25.431250  35.1   8.8  16
112                 Josh Hart   405.2  27.013333  42.9   1.7  15
113                Saddiq Bey   403.7  23.747059  46.1   3.4  17
114                 Tre Jones   403.4  28.814286  43.9  11.9  14
115              Jock Landale   397.5  22.083333  40.0   9.7  18
116                 Ja Morant   395.9  32.991667  48.5  10.2  12
117          Brandon Williams   394.7  23.217647  41.5   4.5  17
118            Ausar Thompson   394.1  30.315385  44.9   8.6  13
119             Kevin Huerter   392.9  24.556250  38.5  10.4  16
120             Dillon Brooks   392.8  32.733333  48.7  24.0  12
121             Collin Sexton   392.3  24.518750  37.0  12.4  16
122          Tristan da Silva   390.8  20.568421  35.2   3.9  19
123            Keldon Johnson   390.2  24.387500  37.4  16.1  16
124             Peyton Watson   387.7  22.805882  49.9   5.7  17
125             Reed Sheppard   383.0  25.533333  38.0  13.5  15
126              Aaron Gordon   382.9  29.453846  63.6   2.4  13
127             Cason Wallace   382.6  22.505882  40.5   6.2  17
128               Moses Moody   381.8  22.458824  51.1   6.6  17
129                OG Anunoby   380.4  31.700000  51.8   5.6  12
130          D'Angelo Russell   375.6  22.094118  46.0   2.2  17
131          Ryan Kalkbrenner   374.6  24.973333  39.8   5.9  15
132               Ayo Dosunmu   372.8  24.853333  42.3  12.9  15
133              Jake LaRavia   372.3  21.900000  50.1   8.2  17
134           Duncan Robinson   371.8  21.870588  34.7   1.0  17
