                  Player_Name   total        avg   max   min  gp
227                Tari Eason   244.4  22.218182  38.5   9.2  11
228                Sam Hauser   243.9  14.347059  26.9   2.9  17
229             Miles McBride   242.2  18.630769  28.8   7.9  13
230               Isaac Okoro   240.0  16.000000  33.9   6.0  15
231              Oso Ighodaro   237.3  13.183333  42.4   2.0  18
232          Brice Sensabaugh   234.0  14.625000  29.8   0.0  16
233                Yves Missi   229.0  17.615385  37.8   2.7  13
234               Alex Caruso   228.9  17.607692  26.9   0.0  13
235                Luka Garza   226.6  15.106667  32.1   2.2  15
236             Aaron Wiggins   226.6  25.177778  43.2  11.7   9
237             Nicolas Batum   226.0  12.555556  23.1   0.0  18
238               Gradey Dick   225.3  12.516667  30.0   0.0  18
239           Ziaire Williams   225.2  16.085714  33.4   0.0  14
240         Jarred Vanderbilt   224.1  16.007143  40.6   0.7  14
241            Keaton Wallace   223.1  13.123529  28.9   2.0  17
242             Landry Shamet   222.0  14.800000  41.9   2.7  15
243                Keon Ellis   221.0  13.000000  26.5  -1.0  17
244                Al Horford   220.2  18.350000  26.7   8.8  12
245              Caris LeVert   218.1  18.175000  31.7   7.2  12
246           Bilal Coulibaly   214.8  23.866667  39.6   5.9   9
247                Cam Thomas   213.7  26.712500  45.9   1.5   8
248               Joel Embiid   213.6  35.600000  48.2  17.2   6
249             Anthony Davis   212.7  42.540000  55.6   9.8   5
250             Luguentz Dort   211.8  17.650000  25.7   9.6  12
251             Tobias Harris   210.9  26.362500  33.0  16.1   8
252            Gary Payton II   209.6  11.644444  31.2   1.2  18
253        Bennedict Mathurin   208.0  34.666667  46.7  17.3   6
254               Brook Lopez   204.1  12.005882  20.9   1.2  17
255              Jaxson Hayes   198.9  14.207143  27.5   3.4  14
256      Collin Murray-Boyles   196.7  15.130769  39.3   1.4  13
257            Justin Edwards   196.2  13.080000  32.1   0.0  15
258              Jordan Walsh   195.8  15.061538  32.1   0.0  13
259            Walker Kessler   191.3  38.260000  55.8  19.8   5
260               Luke Kornet   187.9  20.877778  37.4   9.0   9
261            Isaiah Collier   186.5  20.722222  38.7   7.2   9
262          Precious Achiuwa   185.0  16.818182  31.3   2.2  11
263             Dalton Knecht   179.2  11.946667  28.7   0.0  15
264        Walter Clayton Jr.   177.4  13.646154  28.7   6.0  13
265             Nick Richards   177.1   9.838889  26.0   3.4  18
266       Robert Williams III   176.8  16.072727  32.2   3.6  11
267         Bogdan Bogdanović   176.2  19.577778  40.1   2.5   9
268              Jaylen Clark   172.5  11.500000  25.0   3.6  15
269         Mitchell Robinson   171.8  19.088889  32.5  11.6   9
270              Moussa Cisse   171.3  11.420000  25.0  -1.0  15
271              John Konchar   170.2  10.637500  33.0   0.0  16
272            Nique Clifford   169.5  12.107143  23.5  -1.0  14
273              Jordan Poole   168.4  24.057143  33.4  12.2   7
274              Tony Bradley   167.8   9.870588  25.5   1.2  17
275           Larry Nance Jr.   165.9  11.060000  17.7  -1.0  15
276                Caleb Love   165.8  16.580000  43.9   4.1  10
277    Jeremiah Robinson-Earl   165.0  13.750000  32.0   1.2  12
278                Trae Young   164.5  32.900000  49.1  10.7   5
279            Rob Dillingham   159.6  10.640000  18.7   0.0  15
280              Clint Capela   156.8  11.200000  22.5   3.0  14
281              Drake Powell   155.4  14.127273  25.4   3.4  11
282           Nae'Qwan Tomlin   154.1  15.410000  31.2   0.0  10
283           Dominick Barlow   153.8  19.225000  31.1   5.8   8
284            Jonathan Isaac   151.6   8.917647  24.9   0.0  17
285                Tyus Jones   150.9   7.942105  18.7   0.0  19
286             Jeremy Sochan   150.0  15.000000  27.5   4.4  10
287               Pat Spencer   149.6  13.600000  44.1   0.0  11
288                Chris Paul   149.3  11.484615  22.6   4.7  13
289                Coby White   149.1  37.275000  43.8  28.6   4
290              Dylan Harper   148.3  24.716667  45.2  12.2   6
291         Justin Champagnie   147.9   9.860000  27.2   0.0  15
292                 Adem Bona   147.7  12.308333  22.3   3.1  12
293            Ja'Kobe Walter   147.2   9.813333  21.7   0.2  15
294             Jabari Walker   146.6   8.623529  24.8   0.0  17
295            Tyrese Proctor   144.5   9.031250  22.9   0.0  16
296      Trayce Jackson-Davis   139.8  11.650000  27.9   0.0  12
297            T.J. McConnell   137.8  19.685714  32.7   6.2   7
298                Kevin Love   137.8  13.780000  25.6   1.2  10
299               Micah Peavy   137.6   9.828571  28.6   0.0  14
300               Jaden Hardy   135.7   8.481250  18.7   1.2  16
301                 Zach Edey   135.1  27.020000  45.5   3.2   5
302               Jett Howard   133.7   9.550000  42.9   0.0  14
303            Jordan Hawkins   133.0   8.312500  22.4   0.0  16
304            Karlo Matković   132.6  11.050000  25.2   0.0  12
305               RayJ Dennis   131.3  10.941667  33.9   0.0  12
306          Dereck Lively II   128.9  18.414286  25.5   9.9   7
307              Sidy Cissoko   128.2   9.861538  23.1   0.0  13
308          Tristan Vukcevic   125.4   8.957143  34.6  -1.0  14
309            Darius Garland   122.4  24.480000  36.9  13.4   5
310              Cam Christie   121.7   9.361538  26.9   1.4  13
311          Taylor Hendricks   120.2  10.927273  24.2   0.0  11
312           Quenton Jackson   118.4  23.680000  56.2   5.4   5
313              Kobe Sanders   116.0  11.600000  23.2   3.7  10
314              LeBron James   116.0  38.666667  44.2  34.6   3
315           Branden Carlson   115.6   8.892308  20.8   0.0  13
316            Maxime Raynaud   113.8  11.380000  23.5   1.2  10
317              Blake Wesley   107.3  17.883333  24.9   8.7   6
318              Bones Hyland   106.0   8.153846  17.7   0.0  13
319             Hugo González   105.1   8.084615  20.0   0.0  13
320           Pat Connaughton   104.1   8.675000  19.9   0.0  12
321                Noah Penda   103.2  10.320000  31.6   0.0  10
322        Guerschon Yabusele   103.1   6.873333  11.2   1.2  15
323             Keegan Murray   102.4  34.133333  51.8  15.1   3
324             Aaron Holiday   101.5  10.150000  30.2   1.0  10
325           Julian Phillips   101.0   6.312500  15.9   0.0  16
326              Jalen Wilson   100.8   7.200000  14.2   1.0  14
327              Kevon Looney   100.7  11.188889  21.2   5.0   9
328              Jevon Carter    99.9  12.487500  22.9   3.0   8
329             Ousmane Dieng    99.3   7.092857  18.7   1.2  14
330             Isaiah Livers    98.5   8.208333  19.7   0.0  12
331             Kyle Anderson    97.2  19.440000  32.2  10.0   5
332             Liam McNeeley    96.0   8.727273  18.6  -0.8  11
333            Taurean Prince    95.6  11.950000  24.1   0.5   8
334                Asa Newell    94.3   7.858333  37.0   0.0  12
335   Olivier-Maxence Prosper    93.2   8.472727  20.8   0.0  11
336         Baylor Scheierman    92.2   7.092308  30.5   0.0  13
337                KJ Simpson    92.2  11.525000  21.7   0.0   8
338              Ochai Agbaji    91.4   7.616667  19.4   0.0  12
339              Caleb Martin    91.1   5.693750  15.1   1.2  16
340               Gary Harris    87.8   7.981818  19.2   0.0  11
341             Dwight Powell    87.1   6.221429  33.2   0.0  14
342               Paul George    85.3  28.433333  34.5  23.9   3
343              Kelly Olynyk    84.9  12.128571  25.5   3.0   7
344               Chaz Lanier    82.8   6.900000  17.6   0.0  12
345              Bronny James    79.3   7.209091  18.2  -1.0  11
346             Chris Boucher    79.1   9.887500  19.8  -1.0   8
347            Keshad Johnson    79.1   9.887500  36.7   1.2   8
348               Dalen Terry    78.1   7.810000  28.1   0.0  10
349             Thomas Bryant    77.0   5.923077  15.4  -1.0  13
350            Brandon Miller    76.7  25.566667  40.5   3.5   3
351                Obi Toppin    76.5  25.500000  35.5  17.2   3
352              Jericho Sims    75.9   5.838462  20.5   0.0  13
353          Brooks Barnhizer    75.7   5.046667  10.6   0.0  15
354                Gui Santos    75.4   5.385714  12.2  -1.0  14
355               Tyler Kolek    75.3   6.275000  16.7   0.0  12
356                Duop Reath    75.0   5.357143  15.6   0.0  14
357              Luke Travers    74.0   9.250000  17.8   0.0   8
358               Javon Small    71.6   8.950000  27.4   0.0   8
359            Nick Smith Jr.    70.7  11.783333  35.2   0.0   6
360            Jamison Battle    70.6   5.430769  23.2   0.0  13
361              Bradley Beal    70.0  11.666667  18.5   5.7   6
362              Jared McCain    68.1   8.512500  21.2   0.0   8
363         Jordan McLaughlin    68.0   8.500000  17.4  -2.0   8
364        David Jones Garcia    67.7  11.283333  38.0   2.0   6
365      Terrence Shannon Jr.    66.6   8.325000  24.5   0.4   8
366            Tidjane Salaün    65.5   9.357143  22.9   0.0   7
367            Bryce McGowens    65.1   8.137500  16.6   0.0   8
368                Kobe Brown    65.1   5.918182  13.1  -1.0  11
369              Rayan Rupert    63.4   5.763636  17.0   0.0  11
370              Taelon Peter    63.0   5.727273  16.6  -1.0  11
371                Will Riley    63.0   5.250000  10.2   0.0  12
372             Spencer Jones    62.0   4.769231  13.2  -1.0  13
373               Yang Hansen    61.5   6.833333  20.3   0.0   9
374                 Ben Saraf    61.1   8.728571  22.4   0.5   7
375              Devin Carter    59.9   7.487500  23.7   0.0   8
376            Xavier Tillman    58.9   7.362500  22.9   0.0   8
377          Matisse Thybulle    58.3  14.575000  20.4  10.5   4
378             Cody Williams    57.0   5.181818  10.0   0.0  11
379         Nigel Hayes-Davis    56.7   4.361538  18.4  -0.8  13
380          Julian Strawther    55.8   6.200000  22.2   0.0   9
381               Amir Coffey    54.8   3.653333  13.6  -1.0  15
382           Jase Richardson    53.4   4.854545  27.0   0.0  11
383                GG Jackson    52.8   6.600000  23.3   0.0   8
384             Mason Plumlee    50.3   6.287500  26.6   0.2   8
385             Carter Bryant    50.0   4.545455  17.2   1.0  11
386            Ariel Hukporti    48.1   4.810000  13.0   0.0  10
387  Yanic Konan Niederhäuser    47.9   5.322222  10.7   0.0   9
388          Chris Youngblood    47.2   2.950000   7.4   0.0  16
389         Andre Jackson Jr.    46.7   5.837500  22.3  -0.5   8
390            Malaki Branham    46.3   6.614286  13.6   0.0   7
391               Jalen Green    45.8  22.900000  41.1   4.7   2
392              Gabe Vincent    44.8   7.466667  17.9  -1.0   6
393                Zeke Nnaji    44.4   5.550000  15.8   0.0   8
394              Monté Morris    43.9   7.316667  16.4   1.0   6
395               Maxi Kleber    43.6   7.266667  10.9   0.0   6
396             Bobi Klintman    43.2   7.200000  12.7  -1.0   6
397             Jordan Miller    42.1  14.033333  31.3   2.4   3
398               Tyler Herro    41.4  41.400000  41.4  41.4   1
399               Mac McClung    41.3  13.766667  21.4   0.0   3
400             Ryan Nembhard    40.8   6.800000  16.1  -2.0   6
401               Cody Martin    40.8  10.200000  17.2   2.2   4
402           Elijah Harkless    40.7   5.814286  12.1   0.0   7
403             Joan Beringer    39.4   4.377778  13.8   0.0   9
404                Tolu Smith    38.2  19.100000  20.4  17.8   2
405           Rasheer Fleming    37.6   4.177778   9.2   0.0   9
406            Leonard Miller    36.2   4.525000  10.1   0.0   8
407                JD Davison    35.2   5.866667  15.2   0.0   6
408                Jaden Ivey    33.3  16.650000  17.1  16.2   2
409            Charles Bassey    33.0  16.500000  21.5  11.5   2
410             Jalen Pickett    32.9   4.700000  13.9   0.0   7
411                   PJ Hall    31.8   4.542857  13.6  -1.0   7
412               Eric Gordon    30.9   7.725000  20.4   0.0   4
413            Jonathan Mogbo    30.8   4.400000   8.8   0.0   7
414            Khaman Maluach    28.7   3.587500   8.9   0.0   8
415             Drew Peterson    28.4   7.100000  10.6   4.2   4
416          Lindy Waters III    27.9   4.650000   7.2   0.0   6
417             Caleb Houstan    27.8   3.971429  13.9   0.0   7
418              Johni Broome    27.3   6.825000  18.2   0.0   4
419           Mohamed Diawara    24.9   2.490000   7.8   0.0  10
420    Thanasis Antetokounmpo    24.4   4.066667   8.0   0.0   6
421            Dylan Cardwell    24.0   8.000000  13.2   3.2   3
422                Mark Sears    23.4   3.342857   8.0  -1.0   7
423         Wendell Moore Jr.    23.3   7.766667   9.5   4.4   3
424           Bismack Biyombo    22.2   3.700000   7.7   1.2   6
425              E.J. Liddell    21.6   3.600000   8.4   0.0   6
426              Hunter Tyson    21.2   3.533333   6.2   1.2   6
427             Jamir Watkins    20.2   4.040000  15.2   0.0   5
428            DeAndre Jordan    20.0  10.000000  13.0   7.0   2
429                Jamal Cain    19.8   3.960000  10.6   0.0   5
430              Nolan Traore    19.7   4.925000  10.5   0.0   4
431            Ron Harper Jr.    19.1   6.366667  10.1   0.0   3
432             Jae'Sean Tate    18.7   2.337500   8.2   0.0   8
433                Jeff Green    18.6   3.100000   9.0   0.0   6
434             Johnny Furphy    18.2   6.066667  12.6   0.0   3
435                AJ Johnson    18.0   2.250000   6.0   0.0   8
436              Anthony Gill    17.0   2.833333   5.6   1.0   6
437                Pete Nance    16.9   5.633333  11.2   1.5   3
438          Orlando Robinson    16.6   5.533333  12.1   0.0   3
439              N'Faly Dante    16.4   4.100000   8.8   0.0   4
440          Kevin Porter Jr.    16.0  16.000000  16.0  16.0   1
441               Riley Minix    15.9   5.300000  13.2   1.2   3
442          Chris Livingston    15.1  15.100000  15.1  15.1   1
443              Jacob Toppin    14.9   2.980000   6.4   0.0   5
444              Jahmir Young    14.7   3.675000   7.5   1.5   4
445             Johnny Juzang    13.1   1.871429   5.9  -1.0   7
446               Dario Šarić    13.0   4.333333  10.4  -1.0   3
447             Javonte Cooke    12.7   4.233333   7.7   0.0   3
448                Joe Ingles    12.0   2.000000   4.5   0.0   6
449             Pacôme Dadiet    11.8   1.685714   3.5   0.0   7
450            Antonio Reeves    11.4   5.700000  11.4   0.0   2
451            Jamaree Bouyea    10.5   5.250000   7.5   3.0   2
452             Myron Gardner     9.9   3.300000   5.7   0.0   3
453               Colby Jones     9.8   9.800000   9.8   9.8   1
454             Hunter Sallis     9.7   1.940000   6.0  -1.0   5
455               Isaac Jones     8.9   2.225000   5.9   0.0   4
456            Amari Williams     8.9   4.450000   7.7   1.2   2
457             James Wiseman     8.8   8.800000   8.8   8.8   1
458            Garrett Temple     8.7   2.900000   5.7   0.0   3
459           Harrison Ingram     8.6   2.866667   4.4   0.0   3
460            Jahmai Mashack     8.4   8.400000   8.4   8.4   1
461            Jahmyl Telfort     8.1   1.157143   3.0   0.0   7
462                Kyle Lowry     7.5   7.500000   7.5   7.5   1
463                Danny Wolf     7.4   2.466667   4.2   0.0   3
464               Adou Thiero     7.2   2.400000   5.2   0.0   3
465             Tyson Etienne     6.0   1.000000   3.0   0.0   6
466               Miles Kelly     5.8   2.900000   6.8  -1.0   2
467                 Koby Brea     5.5   5.500000   5.5   5.5   1
468               Chris Mañon     5.4   2.700000   4.2   1.2   2
469                Drew Timme     5.0   5.000000   5.0   5.0   1
470            Doug McDermott     5.0   5.000000   5.0   5.0   1
471           Daeqwon Plowden     4.4   4.400000   4.4   4.4   1
472           DaRon Holmes II     3.0   1.500000   3.0   0.0   2
473          Hunter Dickinson     3.0   3.000000   3.0   3.0   1
474              Noa Essengue     3.0   1.500000   3.0   0.0   2
475          Garrison Mathews     2.9   1.450000   1.7   1.2   2
476          Trey Jemison III     1.4   0.700000   2.4  -1.0   2
477          Christian Koloko     1.2   0.600000   1.2   0.0   2
478           Tosan Evbuomwan     1.2   1.200000   1.2   1.2   1
479              Jackson Rowe     0.0        NaN  -inf   inf   0
480         Tyrese Haliburton     0.0        NaN  -inf   inf   0
481               Alex Toohey     0.0        NaN  -inf   inf   0
482               Tamar Bates     0.0        NaN  -inf   inf   0
483              Curtis Jones     0.0        NaN  -inf   inf   0
484                 Kam Jones     0.0        NaN  -inf   inf   0
485               Kobe Bufkin     0.0        NaN  -inf   inf   0
486         De'Anthony Melton     0.0        NaN  -inf   inf   0
487             Thomas Sorber     0.0        NaN  -inf   inf   0
488                CJ Huntley     0.0        NaN  -inf   inf   0
489              Nikola Topić     0.0        NaN  -inf   inf   0
490           Dejounte Murray     0.0        NaN  -inf   inf   0
491             Moritz Wagner     0.0        NaN  -inf   inf   0
492          Vladislav Goldin     0.0        NaN  -inf   inf   0
493              Terry Rozier     0.0        NaN  -inf   inf   0
494       Kasparas Jakučionis     0.0        NaN  -inf   inf   0
495                John Tonje     0.0        NaN  -inf   inf   0
496             Georges Niang     0.0        NaN  -inf   inf   0
497            Oscar Tshiebwe     0.0        NaN  -inf   inf   0
498           Scoot Henderson     0.0        NaN  -inf   inf   0
499            Damian Lillard     0.0        NaN  -inf   inf   0
500            Trey Alexander     0.0        NaN  -inf   inf   0
501             Marcus Sasser     0.0        NaN  -inf   inf   0
502            Jaden Springer     0.0        NaN  -inf   inf   0
503           Enrique Freeman     0.0        NaN  -inf   inf   0
504            Rocco Zikarsky     0.0        NaN  -inf   inf   0
505         Scotty Pippen Jr.     0.0        NaN  -inf   inf   0
506                 Ty Jerome     0.0        NaN  -inf   inf   0
507            Brandon Clarke     0.0        NaN  -inf   inf   0
508        Kevin McCullar Jr.     0.0        NaN  -inf   inf   0
509                 Max Strus     0.0        NaN  -inf   inf   0
510            Isaiah Stevens     0.0        NaN  -inf   inf   0
511           Colin Castleton     0.0        NaN  -inf   inf   0
512                Max Shulga     0.0        NaN  -inf   inf   0
513            Jalen Williams     0.0        NaN  -inf   inf   0
514              Jayson Tatum     0.0        NaN  -inf   inf   0
515          Kenrich Williams     0.0        NaN  -inf   inf   0
516       Dorian Finney-Smith     0.0        NaN  -inf   inf   0
517              Kevon Harris     0.0        NaN  -inf   inf   0
518           Isaiah Crawford     0.0   0.000000   0.0   0.0   1
519             Fred VanVleet     0.0        NaN  -inf   inf   0
520        Alex Antetokounmpo     0.0        NaN  -inf   inf   0
521            Nikola Đurišić     0.0        NaN  -inf   inf   0
522           Eli John Ndiaye     0.0        NaN  -inf   inf   0
523            Chucky Hepburn     0.0        NaN  -inf   inf   0
524               A.J. Lawson     0.0        NaN  -inf   inf   0
525             Alijah Martin     0.0        NaN  -inf   inf   0
526                Josh Green     0.0        NaN  -inf   inf   0
527              Kyrie Irving     0.0        NaN  -inf   inf   0
528                Danté Exum     0.0        NaN  -inf   inf   0
529            Grant Williams     0.0        NaN  -inf   inf   0
530              Zach Collins     0.0        NaN  -inf   inf   0
531           Trentyn Flowers     0.0        NaN  -inf   inf   0
532            Emanuel Miller     0.0        NaN  -inf   inf   0
533           Lachlan Olbrich     0.0        NaN  -inf   inf   0
534         Haywood Highsmith     0.0        NaN  -inf   inf   0
535            Sharife Cooper    -1.0  -0.333333   0.0  -1.0   3
